Protein1	Interface1	Protein2	Interface2	Stoichiometry
	ITSN2	SH3D	WASL	PRD_span	1:01
	ITSN2	SH3E	WASL	PRD_span	1:01
	NECAP1	PHear	PICALM	FESVF	1:01
	NECAP1	PHear	SNAP91	FxDxF	1:01
	MYO1E	SH3	SYNJ1	PRD_1285to1290	1:01
	MYO1E	SH3	SYNJ1	PRD_span	1:01
	MYO6	WWY	MYO6	WWY	1:01
	OCRL	PRD	SNX9	SH3	1:01
	PACSIN2	FBAR_DIMER	PACSIN2	FBAR_DIMER	1:01
	PACSIN2	FBAR_top	PACSIN2	FBAR_bottom	1:01
	PACSIN2	SH3	SYNJ1	PRD_1285to1290	1:01
	PACSIN2	SH3	SYNJ1	PRD_span	1:01
	PACSIN2	SH3	WAS	PRD	1:01
	PACSIN2	SH3	WASL	PRD_span	1:01
	SH3BP4	CC	SH3BP4	CC	1:01
	SH3GL1	BAR_DIMER	SH3GL1	BAR_DIMER	1:01
	SH3GL1	BAR_top	SH3GL1	BAR_bottom	1:01
	SH3GL1	BAR_bottom	SH3GL2	BAR_top	1:01
	SH3GL1	BAR_DIMER	SH3GL2	BAR_DIMER	1:01
	SH3GL1	BAR_bottom	SH3GL3	BAR_top	1:01
	SH3GL1	BAR_DIMER	SH3GL3	BAR_DIMER	1:01
	SH3GL1	SH3	SH3KBP1	PRD	1:01
	SH3GL1	SH3	SYNJ1	PRD_1285to1290	1:01
	SH3GL1	SH3	SYNJ1	PRD_span	1:01
	SH3GL2	BAR_DIMER	SH3GL2	BAR_DIMER	1:01
	SH3GL2	BAR_top	SH3GL2	BAR_bottom	1:01
	SH3GL2	BAR_bottom	SH3GL3	BAR_top	1:01
	SH3GL2	BAR_DIMER	SH3GL3	BAR_DIMER	1:01
	SH3GL2	SH3	SH3KBP1	PRD	1:01
	SH3GL2	SH3	SYNJ1	PRD_1285to1290	1:01
	SH3GL2	SH3	SYNJ1	PRD_span	1:01
	SH3GL3	BAR_DIMER	SH3GL3	BAR_DIMER	1:01
	SH3GL3	BAR_top	SH3GL3	BAR_bottom	1:01
	SH3GL3	SH3	SH3KBP1	PRD	1:01
	SH3KBP1	coiled_coil	SH3KBP1	coiled_coil	1:01
	SH3KBP1	SH3A	SH3KBP1	PRD	1:01
	SH3KBP1	SH3A	SYNJ1	PRD_1285to1290	1:01
	SH3KBP1	SH3B	SYNJ1	PRD_1285to1290	1:01
	SH3KBP1	SH3C	SYNJ1	PRD_1285to1290	1:01
	SH3KBP1	SH3A	SYNJ2	PRD_1285to1290	1:01
	SH3KBP1	SH3B	SYNJ2	PRD_1285to1290	1:01
	SH3KBP1	SH3C	SYNJ2	PRD_1285to1290	1:01
	SH3KBP1	SH3A	WAS	PRD_351to356	1:01
	SH3KBP1	SH3B	WAS	PRD_351to356	1:01
	SH3KBP1	SH3C	WAS	PRD_351to356	1:01
	SH3KBP1	SH3A	WASL	PRD_277to330	1:01
	SH3KBP1	SH3C	WASL	PRD_277to330	1:01
	SNX9	BAR_DIMER	SNX9	BAR_DIMER	1:01
	SNX9	BAR_top	SNX9	BAR_bottom	1:01
	SNX9	SH3	SYNJ1	PRD_1285to1290	1:01
	SNX9	SH3	SYNJ1	PRD_span	1:01
	SNX9	SH3	TNK2	PRD	1:01
	SNX9	SH3	WAS	PRD	1:01
	SYNJ1	PRD_1285to1290	TNK2	SH3	1:01
	SYNJ1	PRD_span	TNK2	SH3	1:01
	TNK2	PhosphoSites	TNK2	PKD	1:01
	TNK2	PKD	WAS	IYDFI	1:01
	TRIP10	FBAR_DIMER	TRIP10	FBAR_DIMER	1:01
	TRIP10	FBAR_TOP	TRIP10	FBAR_BOTTOM	1:01
	TRIP10	SH3_1	WAS	PRD	1:01
	TRIP10	SH3_2	WASL	PRD_span	1:01
	AMPH	BAR_MEM	PI_PS	Head_group	1:01
	AMPH	BAR_MEM	PI45P2	Head_group	1:01
	AP2A1	PIP2_BIND	PI45P2	Head_group	1:01
	AP2A2	PIP2_BIND	PI45P2	Head_group	1:01
	AP2B1	PIP2_BIND	PI45P2	Head_group	1:01
	AP2M1	PIP2_BIND	PI45P2	Head_group	1:01
	ARRB1	PIP2_BIND	PI45P2	Head_group	1:01
	ARRB2	PIP2_BIND	PI45P2	Head_group	1:01
	BIN1	BAR_MEM	PI_PS	Head_group	1:01
	BIN1	BAR_MEM	PI45P2	Head_group	1:01
	DAB2	PTB_MEM	PI45P2	Head_group	1:01
	DNAJC6	PTENlike	PI45P2	Head_group	1:01
	DNAJC6	PTENlike	PI4P	Head_group	1:01
	DNM1	PH	PI45P2	Head_group	1:01
	DNM2	PH	PI45P2	Head_group	1:01
	DNM3	PH	PI45P2	Head_group	1:01
	EPN1	ENTH	PI45P2	Head_group	1:01
	EPN2	ENTH	PI45P2	Head_group	1:01
	EPN3	ENTH	PI45P2	Head_group	1:01
	FCHO1	FBAR_MEM	PI_PS	Head_group	1:01
	FCHO1	FBAR_MEM	PI45P2	Head_group	1:01
	FCHO2	FBAR_MEM	PI_PS	Head_group	1:01
	FCHO2	FBAR_MEM	PI45P2	Head_group	1:01
	FNBP1	FBAR_MEM	PI_PS	Head_group	1:01
	FNBP1	FBAR_MEM	PI45P2	Head_group	1:01
	FNBP1L	FBAR_MEM	PI_PS	Head_group	1:01
	FNBP1L	FBAR_MEM	PI45P2	Head_group	1:01
	GAK	PTENlike	PI45P2	Head_group	1:01
	GAK	PTENlike	PI4P	Head_group	1:01
	HIP1	ENTH	PI_PS	Head_group	1:01
	HIP1	ENTH	PI45P2	Head_group	1:01
	HIP1R	ENTH	PI_PS	Head_group	1:01
	HIP1R	ENTH	PI45P2	Head_group	1:01
	INPPL1	IPPc	PI345P3	Head_group	1:01
	ITSN1	PH	PI45P2	Head_group	1:01
	LDLRAP1	PTB_MEM	PI45P2	Head_group	1:01
	MYO1E	PH	PI_PS	Head_group	1:01
	MYO1E	PH	PI45P2	Head_group	1:01
	NUMB	PTB_MEM	PI45P2	Head_group	1:01
	OCRL	IPPc	PI45P2	Head_group	1:01
	PACSIN2	FBAR_MEM	PI_PS	Head_group	1:01
	PACSIN2	FBAR_MEM	PI45P2	Head_group	1:01
	PI4KA	Kinase_lipid	PI_PS	Head_group	1:01
	PICALM	ANTH_MEM	PI45P2	Head_group	1:01
	PIP5K1C	Kinase_lipid	PI4P	Head_group	1:01
	SGIP1	MEM_BIND	PI_PS	Head_group	1:01
	SGIP1	MEM_BIND	PI45P2	Head_group	1:01
	SH3GL1	BAR_MEM	PI_PS	Head_group	1:01
	SH3GL1	BAR_MEM	PI45P2	Head_group	1:01
	SH3GL2	BAR_MEM	PI_PS	Head_group	1:01
	SH3GL2	BAR_MEM	PI45P2	Head_group	1:01
	SH3GL3	BAR_MEM	PI_PS	Head_group	1:01
	SH3GL3	BAR_MEM	PI45P2	Head_group	1:01
	SNAP91	ANTH_MEM	PI45P2	Head_group	1:01
	SNX9	BAR_PX	PI_PS	Head_group	1:01
	SNX9	BAR_PX	PI34P2	Head_group	1:01
	SNX9	BAR_PX	PI45P2	Head_group	1:01
	SYNJ1	IPPc_Sac1	PI45P2	Head_group	1:01
	SYNJ2	IPPc_Sac1	PI45P2	Head_group	1:01
	TRIP10	FBAR_MEM	PI_PS	Head_group	1:01
	TRIP10	FBAR_MEM	PI45P2	Head_group	1:01
	AGFG1	CARGO_BIND	CARGO_VAMP7	longin	1:01
	AP2A1	CARGO_BIND	CARGO_DILEU	DEXXXLLI	1:01
	AP2A2	CARGO_BIND	CARGO_DILEU	DEXXXLLI	1:01
	AP2M1	M2MUH	CARGO_YXXO	YXXO	1:01
	AP2S1	CARGO_BIND	CARGO_DILEU	DEXXXLLI	1:01
	ARRB1	CARGO_BIND	CARGO_GPCR	pSpT	1:01
	ARRB2	CARGO_BIND	CARGO_GPCR	pSpT	1:01
	DAB2	PTB_CARGO	CARGO_PTB	FYXNPXYF	1:01
	EPN1	UIM	CARGO_ubiq	ubiquitin	1:01
	EPN2	UIM	CARGO_ubiq	ubiquitin	1:01
	EPN3	UIM	CARGO_ubiq	ubiquitin	1:01
	EPS15	UIM2	CARGO_ubiq	ubiquitin	1:01
	LDLRAP1	PTB_CARGO	CARGO_PTB	FYXNPXYF	1:01
	NUMB	PTB_CARGO	CARGO_PTB	FYXNPXYF	1:01
	PICALM	ANTH_VAMP	CARGO_SNARE	coiled_coil	1:01
	PICALM	ANTH_VAMP	CARGO_VAMP2	coiled_coil	1:01
	SH3BP4	SH3	CARGO_YXXO	YXXO	1:01
	SNAP91	ANTH_VAMP	CARGO_VAMP2	coiled_coil	1:01
	STON2	CARGO_BIND	CARGO_SYT1	C2	1:01
